City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
177,ceeldheer,3.8488,47.1806,24.08000000000004,86,86,7.97,SO,1722724050
178,tieli,46.95,128.05,19.450000000000045,91,100,2.83,CN,1722724051
179,tabou,4.423,-7.3528,24.120000000000005,80,76,3.07,CI,1722724052
180,weiser,44.251,-116.9693,39.06,19,100,2.87,US,1722724053
181,fort bragg,35.139,-79.006,26.910000000000025,74,100,7.72,US,1722724055
182,brisas barra de suchiate,14.55,-92.2167,29.100000000000023,78,89,2.79,MX,1722724056
183,bredasdorp,-34.5322,20.0403,7.57000000000005,90,85,2.82,ZA,1722724057
184,longyearbyen,78.2186,15.6401,10.910000000000025,93,75,3.6,SJ,1722724058
185,mandal,25.45,74.5667,25.260000000000048,86,100,1.82,IN,1722724059
186,freetown,8.484,-13.2299,24.82000000000005,88,100,5.63,SL,1722724060
187,galveston,29.3669,-94.9669,37.05000000000001,71,0,5.14,US,1722724061
188,mejit,10.2753,170.8646,28.100000000000023,77,9,2.86,MH,1722724062
189,longboat key,27.4125,-82.659,28.0,62,40,4.12,US,1722724063
190,berdigestyakh,62.0989,126.6992,14.689999999999998,56,4,1.75,RU,1722724065
191,port saint john's,-31.6229,29.5448,18.33000000000004,52,54,3.69,ZA,1722724066
192,talnakh,69.4865,88.3972,13.240000000000009,71,32,1.57,RU,1722723981
193,tura,25.5198,90.2201,23.680000000000007,97,98,2.1,IN,1722724068
194,iskateley,67.6803,53.1512,8.740000000000009,83,71,7.7,RU,1722724069
195,glodeni,47.7708,27.5144,16.75,91,62,6.68,MD,1722724070
196,katsuura,35.1333,140.3,25.370000000000005,85,16,2.06,JP,1722724072
197,lagoa,39.05,-27.9833,23.620000000000005,80,0,4.06,PT,1722724073
198,colby,39.3958,-101.0524,35.56,31,0,2.68,US,1722724075
199,kapa'a,22.0752,-159.319,28.180000000000007,68,100,4.12,US,1722724076
200,queenstown,-31.8976,26.8753,13.620000000000005,28,88,3.17,ZA,1722724077
201,mount pearl,47.5166,-52.7813,22.470000000000027,67,40,8.75,CA,1722724078
202,arkhangel'sk,64.5401,40.5433,12.060000000000002,100,0,1.0,RU,1722724079
203,sete,43.4018,3.6966,25.02000000000004,47,6,7.5,FR,1722724080
204,anloga,5.7947,0.8973,24.29000000000002,88,56,5.35,GH,1722724081
205,kailua-kona,19.6406,-155.9956,30.890000000000043,72,20,7.72,US,1722724082
206,qamdo,31.1667,97.2333,8.860000000000014,77,88,1.42,CN,1722724084
207,san antonio de pale,-1.4014,5.6325,22.230000000000018,78,83,5.99,GQ,1722724085
208,hadibu,12.65,54.0333,25.450000000000045,82,21,10.53,YE,1722724086
